NAME,EPOCHS,TICS,METRES,SPEED,LAPS,EPISODES,EPSILON,LEARNING_RATE,STATES_VISITED
unknown,0,252,40,54,0,300,1.0,0.85,2
unknown,1,275,47,53,0,300,0.9998689761293231,0.8481987087923328,3
unknown,2,271,46,54,0,300,0.9998608751928434,0.8481253935696509,3
unknown,3,250,39,52,0,300,0.999852273466121,0.8480491026466704,3
unknown,4,246,37,51,0,300,0.9998431400003333,0.847969715938751,3
unknown,5,231,32,51,0,300,0.9998334419352227,0.8478871085727041,4
unknown,6,361,74,50,0,300,0.9998231443812,0.8478011507006193,4
unknown,7,232,33,51,0,300,0.9998122102941909,0.847711707306853,4
unknown,8,257,41,50,0,300,0.999800600342789,0.8476186380079579,4
unknown,9,228,31,51,0,300,0.9997882727672409,0.8475217968453375,4
unknown,10,272,46,51,0,300,0.9997751832297667,0.8474210320703949,4
unknown,11,453,102,52,0,300,0.9997612846556851,0.8473161859219518,5
unknown,12,243,36,51,0,300,0.9997465270647835,0.8472070943957042,5
unknown,13,242,36,53,0,300,0.9997308573923388,0.8470935870054795,5
unknown,14,224,30,50,0,300,0.999714219299158,0.8469754865360617,5
unknown,15,249,38,50,0,300,0.9996965529699712,0.8468526087873411,5
unknown,16,266,44,51,0,300,0.9996777948994687,0.8467247623095544,5
unknown,17,247,38,52,0,300,0.9996578776652353,0.8465917481293689,5
unknown,18,247,38,51,0,300,0.9996367296867819,0.8464533594665736,5
unknown,19,238,35,52,0,300,0.9996142749698387,0.8463093814411359,5
unknown,20,237,34,52,0,300,0.9995904328350139,0.8461595907703846,5
unknown,21,250,39,54,0,300,0.999565117629879,0.8460037554560835,5
unknown,22,225,30,51,0,300,0.9995382384234758,0.8458416344611618,5
unknown,23,317,60,52,0,300,0.9995096986821933,0.8456729773758722,5
unknown,24,270,45,51,0,300,0.9994793959258891,0.8454975240731568,5
unknown,25,249,38,51,0,300,0.9994472213630764,0.8453150043530007,5
unknown,26,236,34,51,0,300,0.9994130595039192,0.8451251375755665,5
unknown,27,277,48,52,0,300,0.999376787749712,0.8449276322829179,5
unknown,28,255,40,52,0,300,0.9993382759574431,0.8447221858091386,5
unknown,29,248,38,52,0,300,0.9992973859779583,0.8445084838786809,5
unknown,30,264,43,51,0,300,0.9992539711661633,0.8442862001927881,5
unknown,31,236,34,52,0,300,0.9992078758616048,0.8440549960038489,5
unknown,32,233,33,51,0,300,0.9991589348376911,0.8438145196775746,5
unknown,33,273,46,51,0,300,0.9991069727177018,0.8435644062428984,5
unknown,34,251,39,52,0,300,0.9990518033556463,0.8433042769295358,5
unknown,35,247,38,52,0,300,0.9989932291799144,0.843033738693167,5
unknown,36,236,34,51,0,300,0.998931040497558,0.8427523837282358,5
unknown,37,248,38,52,0,300,0.998865014756922,0.8424597889684009,5
unknown,38,229,32,52,0,300,0.998794915766221,0.8421555155747099,5
unknown,39,244,36,51,0,300,0.9987204928655371,0.8418391084116169,5
unknown,40,270,45,51,0,300,0.9986414800495711,0.841510095511008,5
unknown,41,255,40,51,0,300,0.9985575950383575,0.8411679875244629,5
unknown,42,354,71,51,0,300,0.9984685382929966,0.840812277164028,5
unknown,43,307,57,50,0,300,0.9983739919733222,0.8404424386318543,5
unknown,44,250,39,52,0,300,0.9982736188342628,0.8400579270391162,5
unknown,45,254,40,52,0,300,0.9981670610575072,0.8396581778147089,5
unknown,46,248,38,52,0,300,0.9980539390149143,0.8392426061043071,5
unknown,47,232,33,53,0,300,0.9979338499599546,0.8388106061604582,5
unknown,48,228,31,51,0,300,0.9978063666432913,0.8383615507244828,5
unknown,49,255,40,51,0,300,0.9976710358484532,0.8378947904010662,5
unknown,50,232,33,52,0,300,0.9975273768433653,0.8374096530265359,5
unknown,51,232,33,52,0,300,0.9973748797433398,0.8369054430319518,5
unknown,52,305,57,52,0,300,0.9972130037809578,0.8363814408022648,5
unknown,53,245,37,52,0,300,0.9970411754780928,0.8358369020329502,5
unknown,54,240,35,52,0,300,0.9968587867151706,0.8352710570856722,5
unknown,55,307,56,51,0,300,0.9966651926925867,0.8346831103447085,5
unknown,56,237,34,51,0,300,0.9964597097790535,0.834072239576037,5
unknown,57,241,36,53,0,300,0.9962416132414993,0.8334375952911771,5
unknown,58,234,33,52,0,300,0.996010134851006,0.8327783001180823,5
unknown,59,258,42,53,0,300,0.9957644603591566,0.8320934481815947,5
unknown,60,269,45,51,0,300,0.9955037268390589,0.8313821044961938,5
unknown,61,266,44,51,0,300,0.9952270198852368,0.8306433043740239,5
unknown,62,257,41,51,0,300,0.9949333706665338,0.829876052851422,5
unknown,63,244,37,50,0,300,0.9946217528261514,0.8290793241374547,5
unknown,64,222,29,52,0,300,0.9942910792229765,0.8282520610882328,5
unknown,65,267,45,53,0,300,0.9939401985084158,0.8273931747110845,5
unknown,66,228,31,51,0,300,0.9935678915330812,0.8265015437029622,5
unknown,67,240,35,50,0,300,0.9931728675778617,0.8255760140277841,5
unknown,68,230,32,51,0,300,0.9927537604041685,0.8246153985377461,5
unknown,69,276,47,52,0,300,0.9923091241184917,0.8236184766439759,5
unknown,70,247,38,51,0,300,0.9918374288468401,0.8225839940422649,5
unknown,71,231,32,51,0,300,0.9913370562151869,0.8215106624999735,5
unknown,72,273,46,53,0,300,0.990806294632712,0.8203971597105764,5
unknown,73,248,38,53,0,300,0.9902433343754488,0.8192421292227011,5
unknown,74,231,32,52,0,300,0.9896462624689083,0.8180441804508893,5
unknown,75,281,49,52,0,300,0.9890130573694068,0.8168018887757034,5
