Q_TABLE,TURN_C
LEFT_90,0.0
LEFT_80,0.0
LEFT_70,0.0
LEFT_60,0.0
LEFT_50,0.0
LEFT_40,0.0
LEFT_30,0.0
LEFT_20,0.0
LEFT_10,0.0
CENTER,0.0
RIGHT_10,0.0
RIGHT_20,0.0
RIGHT_30,0.0
RIGHT_40,0.0
RIGHT_50,0.0
RIGHT_60,0.0
RIGHT_70,0.0
RIGHT_80,0.0
RIGHT_90,0.0
